Продукт,Калорийность,Белки,Жиры,Углеводы,Категория
Свекла с творогом,"69,5 кКал","10,1 г","0,9 г","5,5 г",выпечка
Соты,"360,2 кКал","3,5 г","26,9 г","27,9 г",выпечка
Сочни творожные,"260,8 кКал","9,4 г","9,8 г","35,9 г",выпечка
Сочники с творогом,"244,1 кКал","9,6 г","7,9 г","35,8 г",выпечка
Сырники из творога,"300,2 кКал",13 г,"19,4 г","19,6 г",выпечка
Сырные палочки,"314,5 кКал","13,7 г","27,9 г","2,4 г",выпечка
Творожная запеканка,"239,6 кКал","8,4 г","6,8 г","38,6 г",выпечка
Творожная запеканка с макаронами,"228,5 кКал","11,2 г","9,1 г","27,3 г",выпечка
"Творожники ""Пряженые"" (с морковью и сыром)",320 кКал,"10,8 г","23,4 г","17,6 г",выпечка
Творожно-яблочная запеканка,"93,8 кКал","8,5 г","3,7 г","7,2 г",выпечка
Творожно-яблочный пирог,"207,3 кКал","5,1 г","6,2 г",35 г,выпечка
Творожные шарики с яблоками,"321,2 кКал","7,2 г","23,8 г","20,8 г",выпечка
Торт Муравейник,"451,9 кКал","4,5 г","29,4 г","45,1 г",выпечка
Тыквенно-яблочная запеканка,"120,2 кКал","2,5 г","5,9 г","15,3 г",выпечка
Шанежки наливные с яйцами,"239,8 кКал","9,1 г",4 г,"44,7 г",выпечка
Шарлотка,"145,7 кКал","3,1 г","1,8 г","31,3 г",выпечка
Шарлотка с яблоками,"197,7 кКал","3,5 г",5 г,37 г,выпечка
Яблоки в слойке,"238,3 кКал","3,9 г","9,9 г","35,7 г",выпечка
Яблоки в тесте жареные,"220,7 кКал","3,3 г",8 г,"36,1 г",выпечка
Яблоки или груши с сиропом,"105,3 кКал","0,3 г","0,3 г","27,1 г",выпечка
"Яблоки, запеченные с творогом","171,4 кКал","3,7 г","2,9 г","34,7 г",выпечка
"Яблоки, фаршированные рисом и орехами","151,1 кКал","3,1 г","8,5 г","16,7 г",выпечка
Яблочный каравай из черствого хлеба,"147,5 кКал","4,7 г","6,8 г",18 г,выпечка
Абрикосовое суфле,"116,2208 кКал","5,6456 г","0,0347 г","23,1126 г",десерт
Апельсиновые корзиночки с кремом,"118,9 кКал","3,1 г",8 г,"9,2 г",десерт
Апельсиновый десерт,"56,7 кКал","0,7 г","0,2 г",14 г,десерт
Апельсины в ванильном соусе,"68,7 кКал","2,4 г","1,7 г","11,6 г",десерт
Безе,"234,4 кКал",1 г,0 г,"61,4 г",десерт
Безе,"304,8 кКал","2,3 г",0 г,"78,8 г",десерт
Бисквит из яичных белков,"319,2 кКал","11,1 г","12,3 г","43,7 г",десерт
Блинчики из овсяных хлопьев,"170,1 кКал","5,2 г","9,2 г","17,7 г",десерт
Блинчики с маком,"214,3 кКал","7,4 г","10,6 г","23,7 г",десерт
Блинчики с морковью,"105,4 кКал","4,2 г","5,3 г",11 г,десерт
"Блинчики с мясным, ливерным, творожным, яблочным фаршем, джемом, повидлом или вареньем","278,3 кКал","13,7 г","18,1 г","16,1 г",десерт
Блинчики-полуфабрикат (оболочка),153 кКал,"6,4 г","4,8 г","22,6 г",десерт
Блины,"232,5 кКал","6,1 г","12,3 г",26 г,десерт
Блины гречневые,"229,1 кКал","6,8 г","13,1 г","22,3 г",десерт
Блины гурьевские,"178,6 кКал","6,5 г","8,6 г","19,9 г",десерт
Блины дехканские,"210,2 кКал",7 г,"1,1 г","45,8 г",десерт
Блины из вареного картофеля,"189,3 кКал",4 г,"11,9 г","17,6 г",десерт
Блины из капусты,"154,4 кКал",4 г,"12,2 г","7,7 г",десерт
Блины из тыквы,"138,3 кКал","2,6 г","8,3 г","14,3 г",десерт
Блины красные,"174,7 кКал","4,5 г","13,1 г","10,3 г",десерт
Блины кукурузные (чечено-ингушское национальное блюдо),221 кКал,"6,1 г","11,8 г",24 г,десерт
Блины с квашенной капустой,"106,6 кКал","3,4 г","3,3 г","16,8 г",десерт
Блины славянские,218 кКал,"9,3 г","8,7 г","27,2 г",десерт
Блины со сладким соусом по-староелецки,"291,7 кКал","6,6 г","20,7 г","21,1 г",десерт
Блины-скородумки,"127,2 кКал","4,8 г","5,8 г","14,9 г",десерт
Брусника свежая с сахаром,"146,9 кКал","0,5 г","0,3 г","37,8 г",десерт
Ванильный крем,"190,6 кКал","4,5 г","12,8 г","15,2 г",десерт
Ванильный соус,"72,1 кКал","3,5 г","2,8 г","8,8 г",десерт
Вафли,"210,9 кКал","5,5 г","6,5 г","34,9 г",десерт
Вафли на вафельнице,"319,3 кКал","4,8 г","18,6 г","35,5 г",десерт
Взбитый лимонный соус,"112,4 кКал",2 г,"1,2 г",25 г,десерт
Взбитый шоколадный соус,"114,7 кКал",5 г,"4,6 г","14,3 г",десерт
Взбитый яблочный соус,"82,4 кКал","2,6 г","2,4 г","13,4 г",десерт
Вишневый мусс,"150,7 кКал","5,9 г","0,1 г","33,7 г",десерт
Галушки яблочные,"89,1 кКал","3,2 г","1,6 г","16,5 г",десерт
"Груши, начиненные творогом","65,4 кКал","2,2 г","2,5 г","9,1 г",десерт
Густой шоколадный соус,"316,6 кКал","2,1 г",18 г,"39,1 г",десерт
"Десерт ""Птичье молоко""","288,9 кКал","5,1 г","13,8 г","38,5 г",десерт
"Десерт из сметаны ""Радуга""","185,6 кКал","3,9 г","14,7 г",10 г,десерт
Десерт молочный (чувашское национальное блюдо),"222,4 кКал","5,1 г","5,5 г","40,7 г",десерт
Желе из барбариса,"218,3 кКал",0 г,0 г,"58,2 г",десерт
Желе из водяники,"67,4 кКал","2,6 г","0,01 г","15,1 г",десерт
Желе из кишмиша,247 кКал,0 г,0 г,"65,9 г",десерт
"Желе из лимонов, апельсинов, мандаринов (лимон)","69,4 кКал","2,6 г","0,03 г","15,6 г",десерт
Желе из молока,"192,1 кКал","6,3 г","11,1 г","17,9 г",десерт
Желе из плодов или ягод свежих,"69,1 кКал","2,5 г","0,04 г","15,6 г",десерт
Желе из сиропа плодового или ягодного,"10,5 кКал","2,6 г","0,01 г","0,02 г",десерт
Желе из сливок,249 кКал,"6,4 г",12 г,"30,9 г",десерт
"Желе из экстракта плодового или ягодного, или из сока плодового или ягодного натурального (сок)","82,3 кКал","2,7 г","0,1 г","18,9 г",десерт
Желе лимонное,"87,6 кКал","2,8 г","0,02 г","20,3 г",десерт
Желе мясное или рыбное,140 кКал,"21,7 г","5,7 г","0,6 г",десерт
Желе с плодами свежими и консервированными,"53,7 кКал","2,1 г","0,1 г","11,7 г",десерт
"Изюм или чернослив, или курага в медовом желе (башкирское национальное блюдо)","137,2 кКал","2,8 г","0,2 г","33,2 г",десерт
Клубника с творогом,"77,6 кКал","6,5 г","1,1 г","11,1 г",десерт
"Клубничный ""снег""","152,7 кКал","3,2 г","0,2 г","36,8 г",десерт
Клубничный пудинг,"75,6 кКал",2 г,"1,4 г","14,6 г",десерт
Клюквенный мусс,71 кКал,"1,2 г","0,08 г","17,5 г",десерт
Клюквенный соус,"96,9 кКал","0,6 г","7,5 г","7,1 г",десерт
"Коврижка ""Диетическая""","154,7 кКал",5 г,"3,8 г","26,8 г",десерт
Козинаки,"419,4 кКал","2,4 г","19,8 г","61,8 г",десерт
Кофейный крем,"181,2 кКал","5,5 г","10,1 г","18,3 г",десерт
Крем ванильный из сметаны,200 кКал,"4,1 г","12,2 г","19,7 г",десерт
"Крем ванильный, шоколадный, кофейный","174,2 кКал","4,5 г","10,6 г","16,2 г",десерт
Крем из клубники,"73,4 кКал","2,9 г","1,9 г","11,8 г",десерт
Крем из клюквы и тыквы,"178,7 кКал","3,8 г","6,7 г","27,6 г",десерт
Крем из ревеня,"174,9 кКал","2,1 г","6,6 г","28,5 г",десерт
Крем из ржаного хлеба,"154,5 кКал","4,1 г","5,7 г","23,1 г",десерт
Крем из смородины,"176,4 кКал","3,6 г","3,1 г","35,6 г",десерт
Крем из черники,"119,1 кКал","5,7 г","2,5 г","19,6 г",десерт
Крем твороженный,"135,8 кКал","3,8 г",3 г,"24,8 г",десерт
Крем ягодный,"179,6 кКал","3,3 г","11,3 г","17,2 г",десерт
Крем-крокант,"199,8 кКал","4,6 г","6,5 г","32,8 г",десерт
Крем-мокко,"193,9 кКал","5,7 г","8,9 г","24,4 г",десерт
Кулага,"92,7 кКал","1,4 г","0,4 г","22,1 г",десерт
Лантутики,"227,9 кКал","8,4 г","12,1 г","22,7 г",десерт
Лимонное пирожное,"219,9 кКал","5,3 г","12,2 г","23,8 г",десерт
Лимонный крем,"177,4 кКал","6,5 г","10,2 г","15,8 г",десерт
Лимонный снежок,"218,6 кКал","7,6 г","4,8 г","38,7 г",десерт
Лимонный соус,"149,9 кКал","1,5 г","13,3 г","6,4 г",десерт
Лимонный соус,"173,1 кКал","4,1 г","14,9 г","6,1 г",десерт
Лимонный соус,56 кКал,"0,03 г","0,003 г","14,9 г",десерт
Лимонный творог,"238,7 кКал","9,8 г","13,9 г","19,7 г",десерт
"Малина или земляника с молоком, сметаной или сливками","78,9 кКал","1,8 г","1,9 г","14,6 г",десерт
Мармелад из абрикосов,"198,9 кКал","0,5 г","0,05 г","52,4 г",десерт
Мармелад из абрикосов в кожице,"183,6 кКал","0,5 г","0,06 г","48,3 г",десерт
Мармелад из брусники и яблок,"112,7 кКал","0,5 г","0,3 г","28,7 г",десерт
Мармелад из черники,"57,6 кКал",1 г,"0,6 г",13 г,десерт
Медовая горка,"270,4 кКал","5,8 г","1,5 г","62,5 г",десерт
"Мороженое ""Сюрприз""","194,3 кКал","3,6 г","6,3 г","32,7 г",десерт
Мороженое с плодами или ягодами консервированными,"222,9 кКал","4,5 г","15,5 г","17,5 г",десерт
Мусс из растворимого кофе,"104,3 кКал","4,1 г","1,5 г","19,9 г",десерт
Мусс из ревеня,"87,6 кКал","0,9 г","0,07 г","22,2 г",десерт
Мусс из ржаной муки,"94,9 кКал","0,9 г","0,1 г","24,1 г",десерт
Мусс из смородины,"113,3 кКал","2,1 г","0,06 г","27,8 г",десерт
Мусс из тыквы,"91,7 кКал","2,1 г","0,07 г","22,1 г",десерт
Мусс клюквенный,"81,9 кКал","2,3 г","0,06 г","19,3 г",десерт
Мусс лимонный,"115,1 кКал","2,4 г","0,03 г","28,1 г",десерт
Мусс яблочный (на крупе манной),"81,1 кКал","0,9 г","0,2 г","20,3 г",десерт
Оладьи,"201,1 кКал","7,4 г","8,9 г","24,5 г",десерт
Оладьи,"322,2 кКал",10 г,"13,6 г","42,7 г",десерт
Оладьи из моркови,"141,2 кКал",3 г,"9,8 г",11 г,десерт
Оладьи из тыквы,"180,2 кКал","4,4 г",13 г,"12,2 г",десерт
Оладьи с изюмом,"334,9 кКал","8,4 г",15 г,"44,4 г",десерт
Оладьи с яблоками,"113,8 кКал","4,3 г","2,6 г","19,5 г",десерт
Оладьи с яблоками,"306,2 кКал","9,2 г","13,3 г","39,8 г",десерт
Омлет с яблоками,"121,4 кКал","3,5 г","4,9 г","16,8 г",десерт
Омлет с яблоками,"177,7 кКал","8,6 г","14,1 г","4,4 г",десерт
Омлет с яблоками,86 кКал,"3,5 г","5,1 г","6,9 г",десерт
Ореховый крем,"105,9 кКал","5,4 г","4,3 г","12,2 г",десерт
Орешки творожные по-русски,"271,2 кКал","8,9 г",17 г,"22,1 г",десерт
Пастила из ежевики,174 кКал,"0,8 г","0,3 г","44,8 г",десерт
Пастила из калины,"197,5 кКал",0 г,0 г,"52,7 г",десерт
"Пирожное ""Кокетка""","418,1 кКал","18,7 г","29,4 г",21 г,десерт
Плавающие острова,"94,9 кКал","3,8 г","3,1 г","13,8 г",десерт
Пудинг из ревеня,187 кКал,"4,5 г","6,3 г","29,9 г",десерт
Пудинг из риса и ревеня,155 кКал,"3,6 г","7,9 г","18,6 г",десерт
Пудинг из сыра,"184,2 кКал",9 г,"13,2 г","7,9 г",десерт
"Пудинг из творога, запеченный","312,5 кКал",11 г,"19,7 г","24,3 г",десерт
Пудинг на сметане,"254,3 кКал","5,8 г","15,3 г","24,9 г",десерт
Пудинг ореховый,"229,4 кКал","7,1 г","7,7 г","35,1 г",десерт
"Пудинг рисовый, манный, пшенный","189,6 кКал","3,4 г","5,1 г","34,7 г",десерт
Пудинг с грушами,"131,2 кКал","3,6 г","3,5 г","22,7 г",десерт
Пудинг сливочный с орехами,"307,1 кКал","7,6 г",20 г,"25,6 г",десерт
Пудинг сухарный,"213,3 кКал","6,4 г","5,1 г","37,8 г",десерт
Ревень с сахаром,"99,6 кКал","0,5 г","0,08 г","25,8 г",десерт
Ревень с сухарями и сливками,"100,4 кКал","1,4 г","6,5 г","9,8 г",десерт
Самбук абрикосовый,"115,1 кКал",2 г,"0,07 г","28,4 г",десерт
Самбук из абрикосов,"86,5 кКал","1,7 г","0,06 г","21,1 г",десерт
Самбук яблочный или сливовый,"90,3 кКал","1,8 г","0,2 г","21,6 г",десерт
Сгущенка по-русски,"120,4 кКал","2,3 г","2,5 г","23,7 г",десерт
Сельдерей на десерт,0 кКал,0 г,0 г,0 г,десерт
Сладкий молочный соус,"84,1 кКал","3,4 г","2,8 г","12,1 г",десерт
Сладкое блюдо из риса и творога,"236,4 кКал","11,1 г","5,7 г","37,6 г",десерт
Сливки или сметана взбитые,"231,3 кКал","2,4 г","17,3 г","17,5 г",десерт
Сливовый соус,"42,4 кКал","0,09 г","0,03 г","11,1 г",десерт
Смородина с медом и миндалем,"191,4 кКал","2,6 г","7,2 г",31 г,десерт
"Смородиновый ""снег""","111,5 кКал","1,3 г","0,1 г","28,1 г",десерт
Снежки,"138,2 кКал",4 г,"3,7 г","23,7 г",десерт
Соус абрикосовый,"250,9 кКал","0,5 г","0,06 г","66,2 г",десерт
"Соус земляничный или малиновый, или вишневый","244,5 кКал","0,5 г","0,2 г","64,1 г",десерт
Соус из брусники и сыра,"208,5 кКал","9,1 г","16,3 г","6,8 г",десерт
Соус из изюма и миндаля,"144,2 кКал","4,4 г","6,8 г","17,4 г",десерт
Соус из какао,"95,9 кКал","3,9 г","3,5 г",13 г,десерт
Соус из крыжовника,35 кКал,"0,4 г","0,2 г","8,5 г",десерт
Соус из яблок и брусники,"174,9 кКал","0,3 г","0,3 г","45,7 г",десерт
Соус клюквенный,"67,3 кКал","0,08 г","0,03 г","17,8 г",десерт
Соус сметанный,382 кКал,"3,3 г","35,3 г","13,7 г",десерт
Соус яблочный,"61,1 кКал","0,1 г","0,09 г",16 г,десерт
Суфле,"203,2 кКал","5,4 г","12,2 г","19,1 г",десерт
"Суфле ванильное, шоколадное, ореховое","212,1 кКал","5,6 г","13,5 г","18,2 г",десерт
Сырники с морковью,248 кКал,"9,6 г","14,1 г","22,1 г",десерт
Творог апельсиновый,"196,8 кКал","6,1 г","11,7 г","17,8 г",десерт
Творожный соус,"118,8 кКал","8,4 г","7,7 г","4,2 г",десерт
"Торт ""Вишня в сотах""","234,2 кКал","3,5 г",15 г,"22,7 г",десерт
"Торт ""Катерина""","381,2 кКал","4,7 г","22,9 г","41,6 г",десерт
"Торт ""Медовый""","322,7 кКал","3,7 г","16,6 г","42,4 г",десерт
"Торт ""Мужской идеал""","307,8 кКал","6,7 г","8,7 г","54,1 г",десерт
"Торт ""Негр""","268,7 кКал","4,4 г","15,4 г","29,9 г",десерт
"Торт ""Почти ""Прага""","350,9 кКал","4,2 г","20,5 г","39,9 г",десерт
"Торт ""Прага""","283,5 кКал","5,9 г","12,6 г",39 г,десерт
"Торт ""Снежная горка""","150,1 кКал",1 г,"11,4 г","11,6 г",десерт
"Торт ""Шоколадная мазурка""","301,4 кКал","7,6 г","7,6 г",54 г,десерт
Торт бисквитный с орехами,"355,3 кКал","11,4 г",15 г,"46,5 г",десерт
Торт Зебра»,"270,8 кКал","8,5 г","12,9 г",32 г,десерт
Торт из картофеля с творогом,169 кКал,"9,1 г","3,9 г","25,9 г",десерт
Торт из тыквы,"212,5 кКал","2,6 г","14,5 г",19 г,десерт
Торт картофельный,"190,5 кКал","5,6 г","5,7 г","31,2 г",десерт
Торт печёночный,200 кКал,"8,1 г","14,5 г",10 г,десерт
Торт Прага»,"326,4 кКал","6,5 г","17,3 г","38,7 г",десерт
Торт Черный принц»,"14,8 кКал","0,2 г","1,1 г","1,2 г",десерт
Тыква с орехами,"111,4 кКал","3,6 г","0,07 г","25,8 г",десерт
Тыква с ревенем,"51,7 кКал","0,8 г","0,09 г","12,8 г",десерт
Тыква с фруктами,"81,1 кКал","1,7 г","2,4 г","14,1 г",десерт
"Тыква, запеченная с фруктами, по-ижевски (удмуртское национальное блюдо)","106,8 кКал","1,5 г","3,7 г","17,9 г",десерт
Тыквенный крем,"144,8 кКал",4 г,"11,2 г","7,4 г",десерт
Фаршированные яблоки,"58,1 кКал","3,3 г","1,9 г","7,5 г",десерт
Фруктовый маседуан,"205,3 кКал","0,4 г","0,1 г",54 г,десерт
Холодное из абрикосов,127 кКал,"1,8 г","10,8 г",6 г,десерт
Чернослив со сливками или сметаной взбитыми,"271,8 кКал","2,5 г","12,6 г","39,6 г",десерт
Шоколадное мороженое,"268,7 кКал","4,4 г","15,8 г","29,1 г",десерт
Шоколадный крем,"272,4 кКал","3,8 г","12,7 г","38,1 г",десерт
Шоколадный пудинг,"192,4 кКал","4,5 г","9,3 г","24,2 г",десерт
Шоколадный соус,"139,9 кКал","2,8 г","7,7 г",16 г,десерт
Шульо мелна (блины овсяные - марийское национальное блюдо),"195,4 кКал","5,5 г","10,5 г",21 г,десерт
Яблоки в грильяже,"146,1 кКал","0,3 г","2,8 г","31,9 г",десерт
Яблоки в желе,"111,1 кКал",3 г,"3,4 г","18,3 г",десерт
Яблоки печеные,"65,8 кКал","0,6 г","1,4 г","13,6 г",десерт
Яблоки печеные,"169,1 кКал","0,5 г","0,4 г","43,6 г",десерт
Яблоки печеные с брусникой,"105,8 кКал","0,3 г","0,3 г","27,2 г",десерт
Яблоки со взбитыми сливками,"113,9 кКал","1,9 г",5 г,"16,4 г",десерт
"Яблоки, фаршированные морковью","78,4 кКал","0,8 г","2,8 г","13,4 г",десерт
Яблочно-сливочный соус,"97,1 кКал","1,2 г","6,1 г","10,1 г",десерт
Яблочный крем,"112,8 кКал","0,6 г","4,7 г","18,2 г",десерт
Ягодный мусс,167 кКал,"1,2 г","0,8 г","41,2 г",десерт
Яичный мусс,"142,3 кКал","5,9 г","3,5 г","23,4 г",десерт
Арбуз консервированный,"36,5 кКал","0,5 г","0,09 г",9 г,заготовки
Брусника маринованная с яблоками,"53,3 кКал","0,3 г","0,3 г","13,2 г",заготовки
Брусника моченая,"23,6 кКал","0,3 г","0,2 г","5,3 г",заготовки
Засахаренный кишмиш,"224,6 кКал",0 г,0 г,"59,9 г",заготовки
Икра баклажанная,"74,3 кКал","1,9 г","4,7 г","6,5 г",заготовки
Икра кабачковая,"90,8 кКал","1,6 г","6,3 г","7,4 г",заготовки
Икра свекольная или морковная,"129,5 кКал","2,9 г","7,4 г","13,6 г",заготовки
Икра щучья,"87,1 кКал","17,3 г",2 г,0 г,заготовки
Капуста маринованная,47 кКал,"0,8 г","0,05 г","11,5 г",заготовки
Квашеная капуста,27 кКал,"1,6 г","0,1 г","5,2 г",заготовки
Маринованная капуста,"126,6 кКал","1,7 г",10 г,"8,1 г",заготовки
Маринованная морская капуста,"12,5 кКал","0,9 г","0,2 г","1,9 г",заготовки
Маринованная свекла,"41,6 кКал","1,6 г","0,1 г","9,1 г",заготовки
Маринованные стрелки чеснока,"29,7 кКал","0,7 г","0,03 г","7,1 г",заготовки
Маринованный крыжовник,0 кКал,0 г,0 г,0 г,заготовки
Маринованный чеснок,"42,4 кКал","1,8 г","0,1 г","9,1 г",заготовки
Морковь по-корейски,"112,6 кКал","1,2 г","8,2 г",9 г,заготовки
Морковь по-корейски,"232,5 кКал","0,9 г","23,5 г","4,8 г",заготовки
Пюре из боярышника,"29,9 кКал",0 г,0 г,8 г,заготовки
Рольмопс,"149,6 кКал","7,8 г","11,6 г","3,8 г",заготовки
Слива маринованная,"63,9 кКал","0,3 г","0,1 г","16,5 г",заготовки
Соленые огурцы,"11,2 кКал","0,6 г","0,08 г","2,2 г",заготовки
Черника в собственном соку,"38,3 кКал","1,1 г","0,6 г","7,6 г",заготовки
Ассорти,0 кКал,0 г,0 г,0 г,закуски
Ассорти в азиатском стиле,"77,7 кКал","1,4 г",5 г,"7,2 г",закуски
Ассорти из капусты и овощей,0 кКал,0 г,0 г,0 г,закуски
Ассорти мясное на хлебе,"375,2 кКал","11,1 г","26,1 г","25,5 г",закуски
Ассорти рыбное на хлебе,"257,9 кКал","14,6 г","12,9 г","22,2 г",закуски
Ассорти фруктовое,"59,4 кКал","2,4 г","1,3 г","10,3 г",закуски
"Бутерброд закрытый с говяжьими котлетами, по 1-54",224 кКал,"11,1 г","6,2 г","30,2 г",закуски
Бутерброд из баклажан,"97,8 кКал","4,3 г",2 г,"16,8 г",закуски
Бутерброд из жареного мяса,"267,4 кКал","9,4 г",25 г,"1,2 г",закуски
Бутерброд из плавленого сыра,"395,9 кКал","8,4 г","38,5 г","4,2 г",закуски
Бутерброд из сыра,"403,2 кКал","16,9 г","35,8 г","3,6 г",закуски
Бутерброд из творога с сельдью,"217,2 кКал","12,8 г","17,7 г","1,8 г",закуски
Бутерброд из хрена,"433,2 кКал","4,6 г","44,9 г",3 г,закуски
Бутерброд пикантный,"316,6 кКал","11,8 г","20,8 г","21,9 г",закуски
"Бутерброд с зернистой икрой кеты, по 1-50","278,6 кКал","13,1 г","9,3 г","35,7 г",закуски
Бутерброд с брынзой,"235,9 кКал","8,1 г",4 г,"44,8 г",закуски
Бутерброд с горчичным маслом,"360,3 кКал","6,5 г","23,4 г",33 г,закуски
"Бутерброд с икрой осетровой, зернистой",267 кКал,"12,4 г","8,3 г","35,7 г",закуски
Бутерброд с килькой,"307,8 кКал","7,3 г","20,3 г","25,6 г",закуски
"Бутерброд с килькой и яйцом, по 1-52",233 кКал,"10,9 г","10,6 г","23,4 г",закуски
"Бутерброд с любительской колбасой, по 1-48",275 кКал,"10,63 г","17,88 г","17,75 г",закуски
Бутерброд с морковью и сыром,206 кКал,"7,1 г","11,6 г","19,4 г",закуски
"Бутерброд с отварной говядиной, по 1-46",122 кКал,"7,6 г","3,7 г","14,2 г",закуски
Бутерброд с селедочным маслом,"341,8 кКал","6,4 г","22,3 г","30,7 г",закуски
"Бутерброд с соленой горбушей, по 1-50",220 кКал,"13,4 г","5,4 г","29,6 г",закуски
Бутерброд с творогом и изюмом,"295,5 кКал","11,8 г","23,8 г","9,1 г",закуски
Горячий бутерброд,"301,6 кКал","7,7 г","26,4 г","8,8 г",закуски
Гренки из пшеничного хлеба (1-й вариант),"213,8 кКал","9,7 г","1,1 г",44 г,закуски
Гренки острые,"269,3 кКал","15,4 г","13,2 г","23,6 г",закуски
Гренки с сыром,"295,2 кКал","13,9 г","13,6 г","31,3 г",закуски
"Закуска ""Уральский рулет""","220,8 кКал","16,3 г","16,7 г","1,5 г",закуски
Закуска из плавленого сыра с яйцом и майонезом,"355,3 кКал","17,3 г","31,1 г","1,6 г",закуски
Закуска овощная с чесноком (марийское национальное блюдо),"166,4 кКал","1,7 г","12,5 г","12,5 г",закуски
Закуска свекольная с орехами,"177,6 кКал","6,9 г","5,9 г","25,8 г",закуски
"Заливное из птицы или дичи, или мясных продуктов в форме","213,6 кКал","18,7 г","14,4 г","2,4 г",закуски
Икра овощная закусочная,"85,7 кКал",2 г,"4,8 г","9,1 г",закуски
Икра осетровых рыб и икра кетовая,"308,5 кКал","16,7 г","22,4 г","10,7 г",закуски
Канапе с бужениной и окороком,"354,9 кКал","9,9 г","27,6 г",18 г,закуски
Канапе с икрой и севрюгой,"253,5 кКал","11,5 г","15,1 г",19 г,закуски
"Канапе с икрой, семгой и осетром","289,2 кКал",19 г,"15,1 г","20,7 г",закуски
Канапе с килькой и яйцом,"238,7 кКал","11,4 г","16,2 г","12,6 г",закуски
Канапе с паштетом,"267,3 кКал","8,6 г","16,2 г","23,1 г",закуски
Канапе с паюсной икрой,"233,3 кКал","10,2 г",14 г,"17,7 г",закуски
Канапе с сыром,"388,5 кКал","13,4 г","28,2 г","21,7 г",закуски
Канапе с сыром и окороком,"364,9 кКал","12,8 г","27,1 г","18,5 г",закуски
Квашеная капуста с орехами,"82,8 кКал","4,7 г","0,2 г","16,6 г",закуски
"Колбаса русская, свадебная","160,9 кКал","13,1 г","11,8 г","0,5 г",закуски
Колбаски из сельдерея,114 кКал,"5,3 г","5,1 г","12,6 г",закуски
"Колбасные, мясные изделия, запеченные в тесте","265,1 кКал","11,6 г","14,3 г","23,9 г",закуски
Корзиночки (тарталетки) для закусок,342 кКал,"9,4 г","15,9 г",43 г,закуски
"Корзиночки с крабами, креветками, кальмарами или морским гребешком","360,4 кКал","11,5 г","25,6 г","22,4 г",закуски
Корзиночки с паштетом,"318,6 кКал","11,8 г","20,8 г","22,3 г",закуски
Корзиночки с салатом,"327,9 кКал","10,8 г","21,9 г","23,2 г",закуски
Корзиночки с языком или ветчиной,"311,6 кКал","11,3 г","19,3 г","24,8 г",закуски
Лазанки из картофеля,"60,7 кКал","3,4 г","3,6 г","3,9 г",закуски
"Лососина, семга, кета малосоленые","218,6 кКал",33 г,"9,1 г","1,4 г",закуски
Масса из ветчины,"327,3 кКал","17,4 г","28,5 г","0,3 г",закуски
Масса из брынзы,"273,1 кКал","13,2 г",24 г,1 г,закуски
Масса из сыра для бутербродов,"451,7 кКал","18,1 г","41,1 г","2,6 г",закуски
Острая закуска,"32,6 кКал","1,7 г","0,1 г","6,5 г",закуски
Пикантная закуска из брынзы,0 кКал,0 г,0 г,0 г,закуски
Птичьи гнезда из сельди иваси,0 кКал,0 г,0 г,0 г,закуски
Расстегаи закусочные,"266,4 кКал","13,3 г","9,6 г","33,8 г",закуски
Соленые фаршированные огурцы,"65,3 кКал","3,6 г",3 г,"6,4 г",закуски
Студень говяжий,"209,3 кКал","26,6 г","9,9 г","3,7 г",закуски
Студень из субпродуктов птицы,"347,4 кКал","30,2 г","24,4 г","1,9 г",закуски
Студень свиной,"354,6 кКал","25,1 г","27,1 г","2,7 г",закуски
Творог с орехами и чесноком,"358,2 кКал","16,4 г","20,5 г","28,9 г",закуски
Творожные шарики,"316,3 кКал","13,6 г","26,4 г","6,5 г",закуски
Творожный бутерброд,"242,7 кКал","9,5 г","11,2 г","27,6 г",закуски
"Фарш из пасты ""Океан""","177,5 кКал","14,8 г","10,9 г","5,3 г",закуски
Холодец по домашнему,"257,8 кКал","26,1 г","15,5 г","3,6 г",закуски
Яйца фаршированные креветками,"247,4 кКал","10,3 г","22,2 г","1,6 г",закуски
Гречневая каша рассыпчатая,"98,7 кКал","3,6 г","2,2 г","17,1 г",каша
"Каша ""Янтарная""(из пшена я яблоками)","138,9 кКал","3,8 г","6,5 г","17,5 г",каша
Каша боярская (из пшена с изюмом),"221,7 кКал","4,8 г","14,4 г","19,5 г",каша
Каша вязкая из пшена с тыквой,158 кКал,"4,2 г",8 г,"18,5 г",каша
Каша гурьевская,"151,2 кКал","4,4 г","5,4 г","22,6 г",каша
Каша из тыквы с манкой,"161,5 кКал","2,8 г","8,4 г","19,9 г",каша
Каша манная коричневая,"162,1 кКал","5,3 г",6 г,"23,2 г",каша
Каша пшенная с сушеными сливами,"121,3 кКал","2,4 г","2,9 г","22,7 г",каша
Каша рисовая с какао,"146,2 кКал","4,1 г",6 г,"20,3 г",каша
Манная каша на клюквенном соке,"112,7 кКал","1,9 г","4,6 г",17 г,каша
Манная каша с морковью,"97,3 кКал","2,7 г","5,6 г","9,7 г",каша
Мучная каша,"95,3 кКал","3,4 г","4,9 г","10,2 г",каша
Рисовая каша с черносливом,"128,5 кКал","1,9 г","2,4 г","26,4 г",каша
Рисовая с абрикосами по-венгерски,"119,7 кКал","2,6 г","0,3 г","28,5 г",каша
